source,line_label,mechanism,mechanism_label,x_eps,x_eps_label,x_index,n,candidate_id,verify_rank,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,source_job_dir,point_id,bootstrap_key,bootstrap_val_key
ldp,LDP-MBM,mbm,MBM,9,9,13,20,251,4,64,0.0001,0.01,0.5,none,84.81536140441895,1.3811639966231772,84.10635070800781,1.4515397213338126,83.52289465904235,84.77123223304748,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=9/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_c3f3890f5c38ab63,ldp|mbm|9,ldp|mbm|9
ldp,LDP-MBM,mbm,MBM,10,10,14,20,239,1,64,0.001,0.01,0.5,none,84.81536026000977,1.6646815103698482,84.26144638061524,1.5774621378625007,83.56702193260193,84.93371354103088,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_9ef3a7db07a963c5,ldp|mbm|10,ldp|mbm|10
sim,SIM-MBM,mbm,MBM,0.00001,1e-5,0,20,94,3,4,0.001,0.01,0.25,none,78.15361938476562,2.075651136592892,77.27474174499511,2.4699377153284114,76.30705374717712,78.31646923065185,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=1e-05/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_3c8601809f629dc7,sim|mbm|0.00001,sim|mbm|0.00001
sim,SIM-MBM,mbm,MBM,0.0001,1e-4,1,20,91,5,4,0.001,0.001,0.25,none,78.19793128967285,2.0764810121022057,77.39290962219238,2.632081533144368,76.24815405845642,78.53064993858337,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.0001/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_dae064389801d037,sim|mbm|0.0001,sim|mbm|0.0001
sim,SIM-MBM,mbm,MBM,0.001,0.001,2,20,88,2,4,0.001,0.0001,0.25,none,78.19054641723633,2.037895463217548,77.51107788085938,2.3884397597226634,76.44756316184997,78.57459298133851,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.001/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_f8e23e604fee1379,sim|mbm|0.001,sim|mbm|0.001
sim,SIM-MBM,mbm,MBM,0.01,0.01,3,20,88,1,4,0.001,0.0001,0.25,none,78.26440162658692,2.0169378113111027,77.19350051879883,2.299534591214984,76.15195656776427,78.16875915527343,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.01/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_02c3361ce2aa0477,sim|mbm|0.01,sim|mbm|0.01
sim,SIM-MBM,mbm,MBM,0.1,0.1,4,20,85,5,4,0.001,0,0.25,none,78.72968826293945,1.978264396995162,77.91728172302246,2.353384970054515,76.92743646621705,78.84785730361938,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_bc5bcf703472c6b7,sim|mbm|0.1,sim|mbm|0.1
sim,SIM-MBM,mbm,MBM,1,1,5,20,191,4,32,0.01,0.01,0.5,none,83.72968940734863,4.427497464373517,82.34859504699708,4.179394524343641,80.21380919456483,83.6410618019104,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=1/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_cc6fd9c33932bb17,sim|mbm|1,sim|mbm|1
sim,SIM-MBM,mbm,MBM,2,2,6,20,252,4,64,0.0001,0.01,0.75,none,84.49039688110352,1.4456721039973865,84.34268684387207,1.4551737041624593,83.72211837768555,84.96325457572937,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=2/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_454acb280d41efec,sim|mbm|2,sim|mbm|2
sim,SIM-MBM,mbm,MBM,3,3,7,20,228,1,64,0.01,0.01,0.75,none,84.8596736907959,1.4704816610541611,83.88478469848633,1.335771168742154,83.3159148979187,84.45346985816956,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=3/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_1409a404a16f42f6,sim|mbm|3,sim|mbm|3
sim,SIM-MBM,mbm,MBM,4,4,8,20,156,3,16,0.01,0.01,0.75,none,84.78581886291504,1.3332752360261217,83.92171287536621,1.5164429226289597,83.32311594009398,84.52049409866332,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=4/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_48efb09349ffd689,sim|mbm|4,sim|mbm|4
sim,SIM-MBM,mbm,MBM,5,5,9,20,192,4,32,0.01,0.01,0.75,none,85.28803443908691,1.7121547138059914,84.44608497619629,1.531382707910042,83.87721446037293,85.10358199119568,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_d53ff8d58121e9b4,sim|mbm|5,sim|mbm|5
sim,SIM-MBM,mbm,MBM,6,6,10,20,192,3,32,0.01,0.01,0.75,none,85.19940872192383,1.55408515182508,84.53470954895019,1.3665378066243459,83.92872694969178,85.08880917549132,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=6/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_8f68ac135d008a8b,sim|mbm|6,sim|mbm|6
sim,SIM-MBM,mbm,MBM,7,7,11,20,228,1,64,0.01,0.01,0.75,none,85.11078186035157,1.7644739537877887,84.36484375,1.633818856944453,83.67743604660035,85.14032327651977,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=7/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_bb4be9a50c284e4d,sim|mbm|7,sim|mbm|7
sim,SIM-MBM,mbm,MBM,8,8,12,20,192,2,32,0.01,0.01,0.75,none,85.33234672546386,1.6117579954703911,84.81536064147949,1.3286161247489723,84.25387614250184,85.37684515953065,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=8/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_0446adefcd94fa1b,sim|mbm|8,sim|mbm|8
