source,backbone,dataset,x_eps,x_index,line_label,pipeline,smoother,feature_dim,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,test_acc_mean,test_acc_ci_low,test_acc_ci_high,test_acc_std,test_acc_min,test_acc_max,val_acc_mean,val_acc_ci_low,val_acc_ci_high,n,source_job_dir,actual_verify_rank,ci_method,point_id,bootstrap_key,bootstrap_val_key
main_add_10seed,gat,citeseer,0.1,2,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,124,8,0.001,0.0001,0.25,none,62.92067451477051,61.73077049255371,63.990385828018184,2.0587258874014926,59.49519348144531,65.625,64.0865406036377,62.83654097557068,65.40895712852478,10,,,,f1_40fc7456e5b06164,main|gat|figure3_pipeline2|citeseer|0.1,main-val|gat|figure3_pipeline2|citeseer|0.1
main_add_10seed,gat,citeseer,1.0,3,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,187,32,0.01,0.001,0.25,none,67.24759902954102,66.73077238082887,67.7764450263977,0.9069899608912124,66.10577392578125,68.99038696289062,68.24519424438476,67.34345104217529,69.09886003494263,10,,,,f1_1d8a934057034e5d,main|gat|figure3_pipeline2|citeseer|1.0,main-val|gat|figure3_pipeline2|citeseer|1.0
main_add_10seed,gat,citeseer,10.0,9,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,190,32,0.01,0.01,0.25,none,67.75240554809571,67.33173217773438,68.23347459793091,0.7517753689430824,66.70673370361328,69.47115325927734,69.23077087402343,68.50871465682984,69.93990554809571,10,,,,f1_c7b0abc4365efac7,main|gat|figure3_pipeline2|citeseer|10.0,main-val|gat|figure3_pipeline2|citeseer|10.0
main_add_10seed,gat,citeseer,2.0,4,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,190,32,0.01,0.01,0.25,none,67.70433044433594,66.98317642211914,68.44952241897583,1.2218568304558268,65.98558044433594,69.23077392578125,69.09855880737305,68.26893022537232,69.75961608886719,10,,,,f1_d431fbda53d989b6,main|gat|figure3_pipeline2|citeseer|2.0,main-val|gat|figure3_pipeline2|citeseer|2.0
main_add_10seed,gat,citeseer,3.0,5,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,190,32,0.01,0.01,0.25,none,67.6322135925293,66.81490627288818,68.42548370361328,1.4300707554352075,65.50480651855469,69.83173370361328,69.11057968139649,68.22085733413697,69.85607063293457,10,,,,f1_5bcc6a461fb017f5,main|gat|figure3_pipeline2|citeseer|3.0,main-val|gat|figure3_pipeline2|citeseer|3.0
main_add_10seed,gat,citeseer,4.0,6,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,154,16,0.01,0.01,0.25,none,67.64423294067383,66.97115554809571,68.4615410041809,1.2462462632094489,66.34615325927734,70.19231414794922,68.50961761474609,67.74038619995117,69.1709761428833,10,,,,f1_13f84d5ca72ead6a,main|gat|figure3_pipeline2|citeseer|4.0,main-val|gat|figure3_pipeline2|citeseer|4.0
main_add_10seed,gat,citeseer,6.0,7,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,187,32,0.01,0.001,0.25,none,67.64423446655273,67.103369140625,68.17308120727539,0.9008640497385294,66.10577392578125,69.35096740722656,68.71394577026368,67.84825986862182,69.45943967819214,10,,,,f1_5998faff12eeac19,main|gat|figure3_pipeline2|citeseer|6.0,main-val|gat|figure3_pipeline2|citeseer|6.0
main_add_10seed,gat,citeseer,8.0,8,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,119,8,0.01,0.01,0.5,none,66.87500305175782,66.15384902954102,67.62019424438476,1.2747687855061172,65.2644271850586,68.75,68.20913619995117,67.28365552902223,69.23077011108398,10,,,,f1_70d1999c816b9cc5,main|gat|figure3_pipeline2|citeseer|8.0,main-val|gat|figure3_pipeline2|citeseer|8.0
main_add_10seed,gat,cora,0.001,0,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,38,2,0.01,0.0,0.5,none,77.09010391235351,75.5683173942566,78.68537525177003,2.741787424086979,73.70753479003906,80.94534301757812,77.35598068237304,76.27732469558715,78.40472564697265,10,,,,f1_62223947836765ab,main|gat|figure3_pipeline2|cora|0.001,main-val|gat|figure3_pipeline2|cora|0.001
main_add_10seed,gat,cora,0.01,1,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,115,8,0.01,0.001,0.25,none,78.27178726196288,77.0897346496582,79.64586410522462,2.0940989396543896,75.33235168457031,81.97931671142578,78.78877410888671,77.9025115776062,79.55686876296997,10,,,,f1_2bf497d4d8884a67,main|gat|figure3_pipeline2|cora|0.01,main-val|gat|figure3_pipeline2|cora|0.01
main_add_10seed,gat,cora,0.1,2,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,193,32,0.001,0.0,0.25,none,80.20679473876953,78.7293212890625,81.4623336982727,2.3334297385867475,76.80945587158203,83.01329040527344,79.88183135986328,78.5073867034912,81.41838914871215,10,,,,f1_6deaf9a44c7073d1,main|gat|figure3_pipeline2|cora|0.1,main-val|gat|figure3_pipeline2|cora|0.1
main_add_10seed,gat,cora,1.0,3,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,155,16,0.01,0.01,0.5,none,84.51993942260742,83.26439971923828,85.59822616577148,1.9306872753873505,80.50221252441406,87.14918518066406,84.63810882568359,83.9438705444336,85.25886152267456,10,,,,f1_9c3042d2475e3857,main|gat|figure3_pipeline2|cora|1.0,main-val|gat|figure3_pipeline2|cora|1.0
main_add_10seed,gat,cora,10.0,9,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,120,8,0.01,0.01,0.75,none,85.03692626953125,84.56425247192382,85.46565774917603,0.826973700416318,83.75184631347656,86.41063690185547,85.42097320556641,84.57902297973632,86.1004425048828,10,,,,f1_124d0c91c99d5efa,main|gat|figure3_pipeline2|cora|10.0,main-val|gat|figure3_pipeline2|cora|10.0
main_add_10seed,gat,cora,2.0,4,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,156,16,0.01,0.01,0.75,none,84.20974807739258,83.19054565429687,85.3028060913086,1.7316392630232844,81.83161163330078,86.85376739501953,84.53471145629882,83.84047315597535,85.18463747024536,10,,,,f1_0d338604d1bc368e,main|gat|figure3_pipeline2|cora|2.0,main-val|gat|figure3_pipeline2|cora|2.0
main_add_10seed,gat,cora,3.0,5,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,120,8,0.01,0.01,0.75,none,84.94830017089843,84.35708921432496,85.53951108932496,1.0361971151102143,83.16100311279297,86.55834197998047,84.9926139831543,84.04689790725708,85.80539171218872,10,,,,f1_53f172949ba451d5,main|gat|figure3_pipeline2|cora|3.0,main-val|gat|figure3_pipeline2|cora|3.0
